section_id,term,department,cross_list_group,course_description,section_number,title,credits,level,status,enrollment_limit,actual_enrollment,cross_list_enrollment,waitlist
71176,201770,ENGL,-,ENGH 396,1,Intro: Creative Writing,3,Undergraduate - Upper Division,WL,22,22,0,0
71177,201770,ENGL,-,ENGH 396,2,Intro: Creative Writing,3,Undergraduate - Upper Division,WL,18,18,0,0
72821,201770,ENGL,-,ENGH 396,3,Intro: Creative Writing,3,Undergraduate - Upper Division,WL,22,22,0,0
73472,201770,ENGL,-,ENGH 396,4,Intro: Creative Writing,3,Undergraduate - Upper Division,WL,22,22,0,0
74860,201770,ENGL,-,ENGH 396,5,Intro: Creative Writing,3,Undergraduate - Upper Division,WL,22,22,0,0
81511,201770,ENGL,-,ENGH 397,2,Poetry Writing,3,Undergraduate - Upper Division,O,18,16,0,0
78691,201770,ENGL,-,ENGH 398,2,Fiction Writing,3,Undergraduate - Upper Division,WL,18,18,0,0
81742,201770,ENGL,-,ENGH 398,3,Fiction Writing,3,Undergraduate - Upper Division,WL,18,18,0,0
74363,201770,ENGL,-,ENGH 399,1,Creative Nonfiction Writ,3,Undergraduate - Upper Division,WL,22,22,0,0
74635,201770,ENGL,-,ENGH 399,2,Creative Nonfiction Writ,3,Undergraduate - Upper Division,WL,22,22,0,0
71937,201770,ENGL,-,ENGH 400,1,City of Dreadful Delights,3,Undergraduate - Upper Division,CN,15,17,0,0
73712,201770,ENGL,66,ENGH 412,1,Mid. East/Cent. Asia Folklore,3,Undergraduate - Upper Division,O,15,15,21,2
80963,201770,ENGL,-,ENGH 412,2,Digital Storytelling,3,Undergraduate - Upper Division,O,27,26,0,0
80965,201770,ENGL,-,ENGH 421,1,Memory/Identity in Middle Ages,3,Undergraduate - Upper Division,O,27,24,0,0
80968,201770,ENGL,-,ENGH 442,1,Post-Civl War American Lit,3,Undergraduate - Upper Division,O,27,16,0,0
80969,201770,ENGL,-,ENGH 455,1,Post-Colonial Drama,3,Undergraduate - Upper Division,O,27,16,0,0
80970,201770,ENGL,-,ENGH 458,1,RS:Age of Revoltn and Reform,3,Undergraduate - Upper Division,O,18,12,0,0
71986,201770,ENGL,-,ENGH 459,1,Internship,3,Undergraduate - Upper Division,CN,10,4,0,0
77976,201770,ENGL,-,ENGH 470,1,Science and Technoculture,3,Undergraduate - Upper Division,WL,18,18,0,0
80972,201770,ENGL,A9,ENGH 483,1,Technical Editing,3,Undergraduate - Upper Division,O,15,12,22,0
80976,201770,ENGL,6J,ENGH 488,2,"Writng, Rhetoric & Video Games",3,Undergraduate - Upper Division,WL,15,15,30,1
80974,201770,ENGL,6F,ENGH 489,1,Proposal Writing/Development,3,Undergraduate - Upper Division,O,15,15,23,0
72139,201770,ENGL,-,ENGH 492,1,Adv Fiction Writing Wkshp,3,Undergraduate - Upper Division,CN,18,16,0,0
82330,201770,ENGL,-,ENGH 495,1,Capstone and Thesis,3,Undergraduate - Upper Division,CN,5,2,0,0
71183,201770,ENGL,-,ENGH 501,1,Intro Profess Writing/Rhetoric,3,Graduate - First,O,18,13,0,0
81063,201770,ENGL,A9,ENGH 503,1,Technical Editing,3,Graduate - First,O,12,10,22,0
72254,201770,ENGL,-,ENGH 504,1,Internship,6-Jan,Graduate - First,CN,10,1,0,0
80973,201770,ENGL,6F,ENGH 509,1,Proposal Writing and Developmt,3,Graduate - First,O,12,8,23,0
75533,201770,ENGL,-,ENGH 513,2,American Environmental Lit,3,Graduate - First,O,18,13,0,0
71184,201770,ENGL,-,ENGH 551,1,Introductn to Literary Theory,3,Graduate - First,WL,18,20,0,0
78253,201770,ENGL,-,ENGH 564,2,Form of Poetry,3,Graduate - First,CN,15,10,0,0
71186,201770,ENGL,-,ENGH 565,1,Forms of Nonfiction,3,Graduate - First,CN,15,15,0,0
71187,201770,ENGL,-,ENGH 566,1,Forms of Fiction,3,Graduate - First,CN,15,16,0,0
73715,201770,ENGL,66,ENGH 591,1,Mid. East/Cent. Asia Folklore,3,Graduate - First,O,11,6,21,0
72328,201770,ENGL,-,ENGH 608,2,Continuum in Personal Narrativ,3,Graduate - First,WL,15,15,0,0
78097,201770,ENGL,-,ENGH 608,4,In Character,3,Graduate - First,O,18,11,0,0
78182,201770,ENGL,-,ENGH 608,7,Between the Lines,3,Graduate - First,O,15,13,0,0
80975,201770,ENGL,6J,ENGH 611,1,"Writng, Rhetoric & Video Games",3,Graduate - First,WL,15,15,30,0
79658,201770,ENGL,-,ENGH 614,1,Internshp: Teaching of Writing,3-Jan,Graduate - First,O,18,0,0,0
71191,201770,ENGL,-,ENGH 615,1,Composition Instruction,3,Graduate - First,O,18,10,0,0
78066,201770,ENGL,-,ENGH 617,3,Poetry Writing Workshop,6-Jan,Graduate - First,WL,15,15,0,1
74930,201770,ENGL,-,ENGH 618,1,Fiction Writing Workshop,6-Jan,Graduate - First,O,15,13,0,0
78091,201770,ENGL,-,ENGH 619,2,Structuring & Editing a Thesis,3,Graduate - First,CN,10,8,0,0
78532,201770,ENGL,-,ENGH 619,4,The Art of the Scene,3,Graduate - First,O,15,14,0,0
80978,201770,ENGL,-,ENGH 619,5,Home & Away: Cultural Heritage,3,Graduate - First,O,15,14,0,0
80984,201770,ENGL,6M,ENGH 620,1,Teaching Tech Comm,3,Graduate - First,O,12,2,11,0
73167,201770,ENGL,-,ENGH 665,1,Middle East Literature,3,Graduate - First,O,18,12,0,0
80980,201770,ENGL,-,ENGH 681,1,Folklore and Folklife,3,Graduate - First,O,18,15,0,0
74354,201770,ENGL,-,ENGH 684,1,Proseminar in Poetry,3,Graduate - First,O,15,7,0,0
78166,201770,ENGL,-,ENGH 685,1,Short Story,3,Graduate - First,O,18,17,0,0
81929,201770,ENGL,-,ENGH 699,5,Poetry,1,Graduate - First,WL,10,10,0,1
81930,201770,ENGL,-,ENGH 699,6,Fiction,1,Graduate - First,WL,10,10,0,1
81931,201770,ENGL,-,ENGH 699,7,Non Fiction,1,Graduate - First,O,10,9,0,0
81932,201770,ENGL,-,ENGH 699,8,Lannan,1,Graduate - First,CN,10,0,0,0
71197,201770,ENGL,-,ENGH 701,1,Research in English Studies,3,Graduate - Advanced,WL,18,18,0,0
80981,201770,ENGL,-,ENGH 720,1,Hist Institutional Rhetorics,3,Graduate - Advanced,CN,18,16,0,0
80982,201770,ENGL,-,ENGH 722,1,Cmp Pedagogy/Prog in Context,3,Graduate - Advanced,O,18,15,0,0
83315,201770,ENGL,-,ENGH 750,3,Adv Wkshp Poetry Writing,3,Graduate - Advanced,O,10,9,0,0
78039,201770,ENGL,-,ENGH 752,2,Adv Wkshp Nonfict Writng,6-Jan,Graduate - Advanced,O,18,10,0,0
80983,201770,ENGL,6M,ENGH 824,1,Teaching Tech Comm,3,Graduate - Advanced,O,10,9,11,0
72079,201770,ENGL,-,LING 306,1,General Linguistics,3,Undergraduate - Upper Division,O,50,38,0,0
71910,201770,ENGL,BO,LING 307,1,English Grammar,3,Undergraduate - Upper Division,O,9,7,16,0
71911,201770,ENGL,BS,LING 307,2,English Grammar,3,Undergraduate - Upper Division,O,9,6,13,0
74306,201770,ENGL,6O,LING 480,3,First Language Acquisition,3,Undergraduate - Upper Division,O,12,8,21,0
82997,201770,ENGL,CU,LING 490,3,Generative Phonology,3,Undergraduate - Upper Division,O,15,15,32,0
73534,201770,ENGL,UX,LING 520,2,Introduction to Linguistics,3,Graduate - First,O,17,16,17,0
73760,201770,ENGL,EF,LING 520,DL1,Introduction to Linguistics,3,Graduate - First,CN,18,2,5,0
78165,201770,ENGL,-,LING 521,2,Applied Linguistics,3,Graduate - First,O,18,15,0,0
74550,201770,ENGL,EE,LING 521,DL1,Applied Linguistics,3,Graduate - First,CN,18,8,10,0
